SM_SYMBOL_NAME,SEM_SMST_SECURITY_ID
DATAMATICS GLOBAL SER LTD,11423
NDTV LTD,11427
KRITI NUTRIENTS LIMITED,11432
SPANDANA SPHOORTY FIN LTD,11435
PILANI INV & IND COR LTD,11445
CYBER MEDIA RES & SER LTD,11447
GUJ IND POW CO. LTD,1145
CCL PRODUCTS (I) LTD,11452
QMS MEDICAL ALLIED S LTD,11467
EXCEL INDUSTRIES LTD,11471
LLOYDS LUXURIES LIMITED,11472
LARSEN & TOUBRO LTD.,11483
KRIDHAN INFRA LIMITED,11488
APAR INDUSTRIES LTD.,11491
SWASTIK PIPE LIMITED,11492
AMBICA AGAR & AROMAINDLTD,11496
FROG CELLSAT LIMITED,11501
CENTURY EXTRUSIONS LTD,11511
NIIT LIMITED,11522
GLAXOSMITHKLINE PHARMA LT,1153
ELECTRONICS MART IND LTD,11530
ULTRATECH CEMENT LIMITED,11532
TATA CONSULTANCY SERV LT,11536
COFORGE LIMITED,11543
TEXMACO INFRA & HOLDG LTD,11549
GUJARAT LEASE FINANCING L,1156
DC INFOTECH AND COMUN LTD,11566
PIRAMAL PHARMA LIMITED,11571
FORCE MOTORS LIMITED,11573
WESTLIFE FOODWORLD LTD,11580
GP PETROLEUMS LIMITED,11581
TRACXN TECHNOLOGIES LTD,11582
LINCOLN PHARMA LTD,11596
GUFIC BIOSCIENCES LTD.,11606
PHANTOM DIGITAL EFF LTD,11616
ASTRA MICROWAVE LTD,11618
GOLDEN TOBACCO LIMITED,11619
GTL LTD,1162
WELSPUN ENTERPRISES LTD.,11626
NARMADA AGROBASE LIMITED,11627
NTPC LTD,11630
S.A.L. STEEL LTD.,11637
NEWGEN SOFTWARE TECH LTD,1164
BOHRA INDUSTRIES LIMITED,11640
KOTHARI SUG & CHEM LTD.,11647
DR. LAL PATH LABS LTD.,11654
JBM AUTO LIMITED,11655
DWARIKESH SUGAR IND LTD,11667
INDOCO REMEDIES LTD.,11677
G M BREWERIES LTD,1168
SUPRAJIT ENGINEERING LTD,11689
PATEL ENGINEERING LTD.,11699
OMFURN INDIA LIMITED,117
ALKEM LABORATORIES LTD.,11703
XCHANGING SOLUTIONS LTD,11705
JSW STEEL LIMITED,11723
CONSO. FIN. & HOLD. LTD.,11731
GUJ NAR VAL FER & CHEM L,1174
JINDAL PHOTO LIMITED,11743
JAIPRAKASH POWER VEN. LTD,11763
GOKALDAS EXPORTS LTD.,11778
ACE INTEGRATED SOLU. LTD.,11779
EVEREADY INDS. IND.  LTD.,11782
GOYAL ALUMINIUMS LIMITED,11787
SAKSOFT LIMITED,11794
HINDPRAKASH INDUSTRY LTD,11796
ALLDIGI TECH LIMITED,11798
SUKHJIT STARCH & CHEM LTD,11804
IIFL FINANCE LIMITED,11809
GODFREY PHILLIPS INDIA LT,1181
SHOPPERS STOP LIMITED,11813
MANGALAM DRUG & CHEM LTD,11817
WELSPUN CORP LIMITED,11821
STEEL STRIPS WHEELS LTD.,11829
NARAYANA HRUDAYALAYA LTD.,11840
CYBER MEDIA (INDIA) LTD.,11845
AMBER ENTERPRISES (I) LTD,1185
SURYALAKSHMI COT MIL LTD,11852
SHAH ALLOYS LIMITED,11856
GLAND PHARMA LIMITED,1186
JK PAPER LIMITED,11860
PRIME SECURITIES LIMITED,11864
63 MOONS TECHNOLOGIES LTD,11868
GRANULES INDIA LIMITED,11872
JSW HOLDINGS LIMITED,11880
MAN INDUSTRIES (I) LTD.,11884
VARDHMAN HOLDINGS LIMITED,11892
DCX SYSTEMS LIMITED,11895
GEOJIT FINANCIAL SER L,11896
FEDERAL-MOGUL GOETZE (IND,1190
INTEGRATED PERSO SER LTD,11903
GENUS POWER INFRASTRU LTD,11905
SWELECT ENERGY SYS LTD,11909
RITE ZONE CHEMCON IND LTD,11910
YES BANK LIMITED,11915
MSP STEEL & POWER LTD.,11919
VITAL CHEMTECH LIMITED,11920
NECTAR LIFESCIENCES LTD.,11930
FUSION FINANCE LIMITED,11932
SPL INDUSTRIES LIMITED,11935
AMIABLE LOGISTICS (I) LTD,11939
MCLEOD RUSSEL INDIA LTD.,11943
GLOBAL HEALTH LIMITED,11956
KANSAI NEROLAC PAINTS LTD,1196
SEMAC CONSTRUCTION LTD,11964
BIKAJI FOODS INTERN LTD,11966
GOLDIAM INTERNATIONAL LTD,11971
RANE (MADRAS) LIMITED,11975
HT MEDIA LIMITED,11982
SASKEN TECHNOLOGIES LTD,11983
INDO COUNT INDUSTRIES LTD,11987
SYNCOM FORMU (I) LTD,11992
FCS SOFTWARE SOLN. LTD.,11999
FAZE THREE LIMITED,12000
IND MOTOR PART & ACC LTD,12009
AEROFLEX ENTERPRISES LTD,12015
SUZLON ENERGY LIMITED,12018
AURIONPRO SOLN LTD,12022
ARCHEAN CHEMICAL IND LTD,12024
SHREE RENUKA SUGARS LTD,12026
FIVE-STAR BUS FIN LTD,12032
BANNARI AM SPIN MILL LTD.,12034
SHEETAL COOL PRODUCTS LTD,12072
KAYNES TECHNOLOGY IND LTD,12092
DOLAT ALGOTECH LIMITED,12124
DELTA MANUFACTURING LTD,1214
B&B TRIPLEWALL CONT LTD,12153
PRAXIS HOME RETAIL LTD,1216
HINDUSTAN FOODS LIMITED,12173
INOX GREEN ENERGY SER LTD,12188
KEYSTONE REALTORS LIMITED,12219
SOLEX ENERGY LIMITED,1231
GRASIM INDUSTRIES LTD,1232
GREAVES COTTON LTD.,1235
ZIM LABORATORIES LIMITED,12384
GUJ STATE FERT & CHEM LTD,1247
STRLNG & WIL REN ENE LTD,12489
VINNY OVERSEAS LIMITED,12490
CASTROL INDIA LIMITED,1250
AAA TECHNOLOGIES LIMITED,12533
PRECISION CAMSHAFTS LTD.,12603
OSIA HYPER RETAIL LIMITED,12643
GUJARAT ALKALIES & CHEM,1267
MADHYA BHARAT AGRO P. LTD,12686
AMBUJA CEMENTS LTD,1270
TEAMLEASE SERVICES LTD.,12716
VASA RETAIL & OVERSEA LTD,1274
DJ MEDIAPRINT & LOG LTD,12749
ROUTE MOBILE LIMITED,128
HYBRID FINANCIAL SERVICE,12809
KRISHANA PHOSCHEM LIMITED,12847
GFL LIMITED,1289
SARVESHWAR FOODS LIMITED,12913
PRITIKA ENG COMPO LTD,12971
BAHETI RECYCLING IND LTD,12989
ABB INDIA LIMITED,13
DHARMAJ CROP GUARD LTD,13001
SAFARI IND (INDIA) LTD,13035
UNIPARTS INDIA LIMITED,13057
360 ONE WAM LIMITED,13061
IIFL CAPITAL SERVICES LTD,13072
TRIVENI ENGG. & INDS. LTD,13081
AIA ENGINEERING LIMITED,13086
EVEREST KANTO CYLINDERLTD,13091
ARHAM TECHNOLOGIES LTD,13092
VIMTA LABS LIMITED,13101
NAHAR INDS ENT LTD,13106
ORIENT CERATECH LIMITED,13111
QUICK HEAL TECH LTD,13116
KERNEX MICROSYS(I) LTD,13121
REPRO INDIA LIMITED,13126
HARRISON MALAYALAM LTD,1313
PVR INOX LIMITED,13147
GALAXY SURFACTANTS LTD,1315
CELEBRITY FASHIONS LTD,13162
NITIN SPINNERS LIMITED,13175
ROYAL ORCHID HOTELS LTD,13182
RELIANCE COMMUNICATIONS L,13188
ENTERTAIN NET. IND. LTD.,13192
GUJARAT STATE PETRO LTD,13197
ALL E TECHNOLOGIES LTD,13203
JAGRAN PRAKASHAN LIMITED,13211
SULA VINEYARDS LIMITED,13218
GVK POW. & INFRA LTD.,13229
SADBHAV ENGINEERING LTD,13236
SAKUMA EXPORTS LIMITED,13251
KEC INTL. LIMITED,13260
HCL INFOSYSTEMS LTD,1327
JK CEMENT LIMITED,13270
INDO TECH TRANSFORM LTD.,13275
LANDMARK CARS LIMITED,13276
MARINE ELECTRICAL (I) LTD,1328
M&M FIN. SERVICES LTD,13285
ABANS FINANCIAL SRVCS LTD,13288
B.L.KASHYAP & SON LTD,13290
VISA STEEL LIMITED,13295
NITCO LIMITED,13300
CENTURY PLYBOARDS (I) LTD,13305
INDIABULLS ENT LTD,13307
KEI INDUSTRIES LTD.,13310
ORTEL COMMUNICATIONS LTD,13321
DOLLEX AGROTECH LIMITED,13323
HDFC BANK LTD,1333
SOLAR INDUSTRIES (I) LTD,13332
GALLANTT ISPAT LIMITED,13337
ARIHANT ACADEMY LIMITED,13340
VAKRANGEE LIMITED,13342
UMA CONVERTER LIMITED,13349
MALU PAPER MILLS LIMITED,13352
KFIN TECHNOLOGIES LIMITED,13359
HEG LTD,1336
STL GLOBAL LIMITED,13367
UTTAM SUGAR MILLS LTD.,13376
SOM DIST & BREW LTD,1338
KEWAL KIRAN CLOTHING LTD,13381
BHAGERIA INDUSTRIES LTD,13400
SUN TV NETWORK LIMITED,13404
GODAWARI POW & ISP LTD,13409
R SYS INTERNATIONAL LTD,13414
SUPREME INFRA. LTD,13419
ELIN ELECTRONICS LIMITED,13423
EMKAY GLOBAL FIN SERV LTD,13424
KELLTON TECH SOL LTD,13430
LOKESH MACHINES LTD,13436
BAL PHARMA LTD.,13441
SHIV AUM STEELS LIMITED,13446
RATNAMANI MET & TUB LTD.,13451
KAMDHENU LIMITED,13457
PIONEER EMBROIDERIES LTD,13463
HERO MOTOCORP LIMITED,1348
